Type,Algorithm,Time,Comparisons
RANDOM_100,std::sort,0.0727746,774
RANDOM_100,MergeSort LCP,0.194042,1143
RANDOM_100,Ternary QuickSort,0.0498416,608
RANDOM_100,MSD Radix,0.195975,0
RANDOM_100,MSD Sort,0.0443666,608
RANDOM_100,MSD Radix + Quick,0.0379916,50
REVERSED_100,std::sort,0.0208166,305
REVERSED_100,MergeSort LCP,0.16795,764
REVERSED_100,Ternary QuickSort,0.15905,2985
REVERSED_100,MSD Radix,0.182658,0
REVERSED_100,MSD Sort,0.155316,2985
REVERSED_100,MSD Radix + Quick,0.036383,58
ALMOST_100,std::sort,0.03195,455
ALMOST_100,MergeSort LCP,0.170758,997
ALMOST_100,Ternary QuickSort,0.0584584,971
ALMOST_100,MSD Radix,0.182375,0
ALMOST_100,MSD Sort,0.0584166,971
ALMOST_100,MSD Radix + Quick,0.0345084,53
WITHPREFIX_100,std::sort,0.0744832,783
WITHPREFIX_100,MergeSort LCP,0.336425,9215
WITHPREFIX_100,Ternary QuickSort,0.0771252,2167
WITHPREFIX_100,MSD Radix,0.448383,0
WITHPREFIX_100,MSD Sort,0.0757582,2167
WITHPREFIX_100,MSD Radix + Quick,0.302509,56
RANDOM_200,std::sort,0.135942,1662
RANDOM_200,MergeSort LCP,0.375725,2763
RANDOM_200,Ternary QuickSort,0.0920334,1554
RANDOM_200,MSD Radix,0.423917,0
RANDOM_200,MSD Sort,0.0893832,1554
RANDOM_200,MSD Radix + Quick,0.0621832,185
REVERSED_200,std::sort,0.03485,611
REVERSED_200,MergeSort LCP,0.32655,1803
REVERSED_200,Ternary QuickSort,0.310167,7062
REVERSED_200,MSD Radix,0.396517,0
REVERSED_200,MSD Sort,0.304883,7062
REVERSED_200,MSD Radix + Quick,0.0658336,241
ALMOST_200,std::sort,0.0544752,977
ALMOST_200,MergeSort LCP,0.324267,2273
ALMOST_200,Ternary QuickSort,0.13735,2834
ALMOST_200,MSD Radix,0.380434,0
ALMOST_200,MSD Sort,0.131508,2834
ALMOST_200,MSD Radix + Quick,0.060058,201
WITHPREFIX_200,std::sort,0.128858,1746
WITHPREFIX_200,MergeSort LCP,0.6995,22134
WITHPREFIX_200,Ternary QuickSort,0.186158,4453
WITHPREFIX_200,MSD Radix,0.916367,0
WITHPREFIX_200,MSD Sort,0.167058,4453
WITHPREFIX_200,MSD Radix + Quick,0.480258,210
RANDOM_300,std::sort,0.24005,2884
RANDOM_300,MergeSort LCP,1.53273,4604
RANDOM_300,Ternary QuickSort,0.440658,2727
RANDOM_300,MSD Radix,0.817133,0
RANDOM_300,MSD Sort,0.145883,2727
RANDOM_300,MSD Radix + Quick,0.0923164,396
REVERSED_300,std::sort,0.0468166,921
REVERSED_300,MergeSort LCP,0.544817,2978
REVERSED_300,Ternary QuickSort,0.533917,11276
REVERSED_300,MSD Radix,0.520442,0
REVERSED_300,MSD Sort,0.4696,11276
REVERSED_300,MSD Radix + Quick,0.101267,583
ALMOST_300,std::sort,0.0872998,1603
ALMOST_300,MergeSort LCP,0.4706,3532
ALMOST_300,Ternary QuickSort,0.173125,3523
ALMOST_300,MSD Radix,0.4295,0
ALMOST_300,MSD Sort,0.171175,3523
ALMOST_300,MSD Radix + Quick,0.0894,438
WITHPREFIX_300,std::sort,0.2248,2692
WITHPREFIX_300,MergeSort LCP,1.04348,36195
WITHPREFIX_300,Ternary QuickSort,0.180067,6633
WITHPREFIX_300,MSD Radix,0.928917,0
WITHPREFIX_300,MSD Sort,0.187583,6633
WITHPREFIX_300,MSD Radix + Quick,0.574217,434
RANDOM_400,std::sort,0.291192,3953
RANDOM_400,MergeSort LCP,0.74835,6632
RANDOM_400,Ternary QuickSort,0.189033,3373
RANDOM_400,MSD Radix,0.53855,0
RANDOM_400,MSD Sort,0.163433,3373
RANDOM_400,MSD Radix + Quick,0.113066,655
